actual,predicted,residual,absolute_error,absolute_percentage_error,yr_mfr,kms_run,times_viewed,assured_buy,is_hot,total_owners,fitness_certificate,reserved,warranty_avail,car_age,km_per_year,is_old_car,high_mileage,car_name,fuel_type,city,body_type,transmission,variant,registered_city,registered_state,rto,source,make,model,car_availability,car_rating,brand,make_model,make_body_type,fuel_transmission
923699.0,798792.5802560225,124906.41974397749,124906.41974397749,13.522415824200035,2018,30301,569,True,True,2,1.0,False,False,8.0,3366.777777777778,0.0,0.0,maruti vitara brezza,diesel,mumbai,suv,,zdi+ dual tone amt,thane,maharashtra,mh04,inperson_sale,maruti,vitara brezza,in_stock,great,maruti,maruti_vitara brezza,maruti_suv,diesel_unknown
623899.0,499143.05661832046,124755.94338167954,124755.94338167954,19.99617620507158,2016,83764,17476,True,True,1,1.0,True,False,10.0,7614.909090909091,1.0,1.0,honda city,petrol,new delhi,sedan,automatic,sv cvt petrol,gurgaon,haryana,hr26,inperson_sale,honda,city,in_stock,great,honda,honda_city,honda_sedan,petrol_automatic
949699.0,826065.2343687523,123633.76563124766,123633.76563124766,13.018205308339553,2015,165870,1288,True,True,1,1.0,False,False,11.0,13822.5,1.0,1.0,toyota innova,diesel,mumbai,suv,manual,2.5 vx 8 str bs iv,mumbai west,maharashtra,mh02,inperson_sale,toyota,innova,in_stock,great,toyota,toyota_innova,toyota_suv,diesel_manual
629999.0,751992.1291525817,-121993.12915258168,121993.12915258168,19.364019490916917,2017,66343,771,True,True,1,1.0,False,False,9.0,6634.3,0.0,1.0,maruti dzire,diesel,chennai,sedan,automatic,vdi amt,chennai,tamil nadu,tn05,inperson_sale,maruti,dzire,in_stock,great,maruti,maruti_dzire,maruti_sedan,diesel_automatic
928999.0,808340.8730004478,120658.12699955225,120658.12699955225,12.987971676993434,2017,15074,798,True,True,1,1.0,False,False,9.0,1507.4,0.0,0.0,maruti ertiga,diesel,chennai,suv,manual,zdi plus shvs,kanchipuram,tamil nadu,tn21,inperson_sale,maruti,ertiga,in_stock,great,maruti,maruti_ertiga,maruti_suv,diesel_manual
713999.0,594532.7748466484,119466.22515335155,119466.22515335155,16.731987741348593,2009,68496,2759,True,True,2,1.0,False,False,17.0,3805.3333333333335,1.0,1.0,toyota innova,diesel,bengaluru,suv,manual,2.5 v 8 str,kolar,karnataka,ka07,inperson_sale,toyota,innova,in_stock,great,toyota,toyota_innova,toyota_suv,diesel_manual
916099.0,797620.8963495502,118478.10365044978,118478.10365044978,12.932893022528107,2015,55867,2990,True,True,1,1.0,True,False,11.0,4655.583333333333,1.0,0.0,hyundai creta,diesel,hyderabad,suv,manual,1.6 sx plus diesel,hyderabad,telangana,ts09,inperson_sale,hyundai,creta,in_stock,great,hyundai,hyundai_creta,hyundai_suv,diesel_manual
823499.0,705888.0807991005,117610.91920089955,117610.91920089955,14.281853311406516,2015,20087,1301,True,True,2,1.0,False,False,11.0,1673.9166666666667,1.0,0.0,hyundai creta,petrol,noida,suv,manual,1.6 s,noida,uttar pradesh,up16,inperson_sale,hyundai,creta,in_stock,great,hyundai,hyundai_creta,hyundai_suv,petrol_manual
353199.0,470687.26472228894,-117488.26472228894,117488.26472228894,33.264042288423504,2019,13217,1253,True,True,1,1.0,False,False,7.0,1652.125,0.0,0.0,maruti alto,petrol,bengaluru,hatchback,manual,lxi,bangalore k r puram,karnataka,ka53,inperson_sale,maruti,alto,in_stock,great,maruti,maruti_alto,maruti_hatchback,petrol_manual
550000.0,434225.8036655822,115774.1963344178,115774.1963344178,21.049853878985054,2015,9879,189,True,False,1,1.0,False,True,11.0,823.25,1.0,0.0,hyundai xcent,petrol,pune,sedan,manual,s 1.2 opt,pune,maharashtra,mh14,online,hyundai,xcent,,fair,hyundai,hyundai_xcent,hyundai_sedan,petrol_manual
359799.0,474534.53833329875,-114735.53833329875,114735.53833329875,31.88878744334997,2020,2496,1845,True,True,1,1.0,True,False,6.0,356.57142857142856,0.0,0.0,maruti alto,petrol,bengaluru,hatchback,,lxi opt,bengaluru,karnataka,ka03,inperson_sale,maruti,alto,in_stock,great,maruti,maruti_alto,maruti_hatchback,petrol_unknown
632399.0,747006.1093877199,-114607.10938771989,114607.10938771989,18.12259497369855,2018,33515,1387,True,True,1,1.0,False,False,8.0,3723.8888888888887,0.0,0.0,hyundai elite i20,diesel,chennai,hatchback,manual,magna executive diesel,chennai,tamil nadu,tn85,inperson_sale,hyundai,elite i20,in_stock,great,hyundai,hyundai_elite i20,hyundai_hatchback,diesel_manual
476799.0,363053.7226034138,113745.2773965862,113745.2773965862,23.856022641948954,2014,23325,263,True,True,2,1.0,False,False,12.0,1794.2307692307693,1.0,0.0,hyundai xcent,petrol,mumbai,sedan,manual,sx 1.2,mumbai east,maharashtra,mh01,inperson_sale,hyundai,xcent,in_stock,great,hyundai,hyundai_xcent,hyundai_sedan,petrol_manual
540299.0,431606.93916913815,108692.06083086185,108692.06083086185,20.11702054433968,2012,125767,1056,True,True,2,1.0,False,False,14.0,8384.466666666667,1.0,1.0,renault duster,diesel,pune,suv,manual,rxz diesel 110,pune,maharashtra,mh12,inperson_sale,renault,duster,in_stock,great,renault,renault_duster,renault_suv,diesel_manual
535099.0,642918.782667811,-107819.78266781103,107819.78266781103,20.149501805798746,2016,41753,2959,True,True,2,1.0,False,False,10.0,3795.7272727272725,1.0,0.0,maruti ciaz,diesel,chennai,sedan,manual,vdi+ shvs,chennai,tamil nadu,tn09,inperson_sale,maruti,ciaz,in_stock,great,maruti,maruti_ciaz,maruti_sedan,diesel_manual
437299.0,544726.7354326324,-107427.73543263238,107427.73543263238,24.566197368992928,2015,45865,1533,True,True,1,1.0,False,False,11.0,3822.0833333333335,1.0,0.0,maruti swift dzire,petrol,bengaluru,sedan,manual,lxi 1.2 bs iv,electronic city,karnataka,ka51,inperson_sale,maruti,swift dzire,in_stock,great,maruti,maruti_swift dzire,maruti_sedan,petrol_manual
770199.0,664144.1239050432,106054.87609495677,106054.87609495677,13.769801842764892,2018,57860,1808,True,True,1,1.0,True,False,8.0,6428.888888888889,0.0,1.0,maruti ciaz,diesel,noida,sedan,manual,alpha 1.3 ddis shvs,ghaziabad,uttar pradesh,up14,inperson_sale,maruti,ciaz,in_stock,great,maruti,maruti_ciaz,maruti_sedan,diesel_manual
802199.0,696226.5835200454,105972.41647995461,105972.41647995461,13.210240411662769,2016,25881,709,True,True,1,1.0,False,False,10.0,2352.818181818182,1.0,0.0,maruti vitara brezza,diesel,ahmedabad,suv,manual,zdi plus dual tone,ahmedabad,gujarat,gj01,inperson_sale,maruti,vitara brezza,in_stock,great,maruti,maruti_vitara brezza,maruti_suv,diesel_manual
258999.0,363434.76237156097,-104435.76237156097,104435.76237156097,40.3228438610037,2014,51643,4080,True,True,1,1.0,True,False,12.0,3972.5384615384614,1.0,0.0,mahindra reva,electric,bengaluru,hatchback,manual,e20 t2,bangalore central,karnataka,ka01,inperson_sale,mahindra,reva,in_stock,great,mahindra,mahindra_reva,mahindra_hatchback,electric_manual
954499.0,850175.0992173227,104323.90078267734,104323.90078267734,10.929702470372137,2017,112774,648,True,True,1,1.0,True,False,9.0,11277.4,0.0,1.0,hyundai creta,diesel,chennai,suv,,1.6 sx crdi,kanchipuram,tamil nadu,tn21,inperson_sale,hyundai,creta,in_stock,great,hyundai,hyundai_creta,hyundai_suv,diesel_unknown
532499.0,429708.05444279895,102790.94555720105,102790.94555720105,19.303500205108563,2013,84711,447,True,True,1,1.0,False,False,13.0,6050.785714285715,1.0,1.0,maruti swift dzire,diesel,pune,sedan,manual,vdi bs iv,pune,maharashtra,mh12,inperson_sale,maruti,swift dzire,pickup_pending,great,maruti,maruti_swift dzire,maruti_sedan,diesel_manual
